Title,Author,Genre
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,
The Prince,Niccolo Machiavelli,
The Complete Sherlock Holmes,Sir Arthur Conan Doyle,
Fight Club,Chuck Palahniuk,
The Art of War,Sun Tzu,
The Mists of Avalon,Marion Zimmer Bradley,
The Time Machine,HG Wells,
Watchmen,Alan Moore,
The Godfather,Mario Puzo,
The Trial,Franz Kafka,
The Sun Also Rises,Ernest Hemingway,
Tuck Everlasting,Natalie Babbitt,
Stranger in a Strange Land,Robert A Heinlein,
Emma,Jane Austen,
Atonement,Ian McEwan,
The Complete Brother's Grimm Fairy Tales,Grimm,
Beloved,Toni Morrison,
James and the Giant Peach,Roald Dahl,
Leaves of Grass,Walt Whitman,
Bury My Heart at Wounded Knee,Dee Brown,
The Things They Carried,Tim O'Brien,
Their Eyes Were Watching God,Zora Neale Hurston,
The Phantom TollBooth,Norton Juster,
Number The Stars,Lois Lowry,
Middlesex,Jeffrey Eugenides,
The World According to Garp,John Irving,
A Separate Peace,John Knowles,
The Autobiography of Malcom X,Malcolm X,
The Wind in the Windows,Kenneth Graham,
Speak,Laurie Halse Anderson,
A People's History of the United States,Howard Zinn,
Into the Wild,Jon Krakauer,
The Story of My Life,Helen Keller,
Murder on the Orient Express,Agatha Christie,
A Farewell to Arms,Ernest Hemingway,
Schindler's List,Thomas Keneally,
Maus: The Complete Maus,Art Spiegelman,
Cat's Cradle,Kurt Vonnegut,
Blindness,Jose Saramago,
A Short History of Nearly Everything,Bill Bryson,
Sophie's Choice,William Styron,
Island of the Blue Dolphins,Scott O'dell,
Madame Bovary,Gustave Flaubert,
Extremely Loud and Incredibly Close,Jonathan Safran Foer,
The Phantom of the Opera,Gaston Leroux,
Ulysses,James Joyce,
American Gods,Neil Gaiman,
Holes,Louis Sachar,
Paradise Lost,John Milton,
The Jungle,Upton Sinclair,
A Brief History of Time,Stephen Hawking,
"Are You There God? It's Me, Margaret",Judy Blume,
The God of Small Things,Arundhati Roy,
Lonesome Dove,Larry McMurtry,
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,
Death of a Salesman,Arthur Miller,
A Walk in the Woods,Bill Bryson,
Never Let Me Go,Kazuo Ishiguro,
Lamb,Christopher Moore,
Norwegian Wood,Haruki Murakami,
To the Lighthouse,Virginia Woolf,
Native Son,Richard Wright,
Go Tell It On The Mountain,James Baldwin,
Return of the King,JRR Tolkien,
The Two Towers,JRR Tolkien,
Fellowship of the Ring,JRR Tolkien,
House,Ted Dekker,
The Call of Cthulhu,HP Lovecraft,
Reaper Man,Terry Pratchett,
Kafka on the Shore,Haruki Murakami,
